ids	maltype	system calls frequency_1gram-scaled
delay_163_2021-11-23	delay	[-0.7402190686046437, 25.0, 5.0, -0.4043810134399967, 10.0, -0.8209766013045076, -0.8208920602461551, -0.7400295343662219, 0.0, 10.0, 0.0, 30.0, -0.7420933520343146, 10.0, -0.7401357028627285, 5.0, 13.341085182893908]
delay_164_2021-11-23	delay	[-1.7036731672138863, 25.0, 5.0, -0.4043810134399967, 10.0, -1.7697929890749473, -1.7697625455869566, -1.7037679888867272, 0.0, 10.0, 0.0, 30.0, -1.704710284371733, 10.0, -1.7037336554565654, 5.0, 12.433092546761571]
delay_165_2021-11-23	delay	[0.8361095495714345, 25.0, 5.0, -0.5798758734633248, 10.0, 0.7677392107762285, 0.7679143338128609, 0.8360147947109755, 0.0, 10.0, 0.0, 30.0, 0.8265384861463746, 10.0, 0.8359956317942107, 5.0, 14.924535755661278]
delay_166_2021-11-23	delay	[-1.080136251690773, 25.0, 5.0, -0.5798758734633248, 10.0, -1.151959062154661, -1.1518933923417836, -1.0799467263943274, 0.0, 10.0, 0.0, 30.0, -1.0828463995731668, 10.0, -1.079889917678323, 5.0, 13.019965835969057]
delay_167_2021-11-23	delay	[0.553769304649204, 25.0, 5.0, 0.005106993281102121, 10.0, 0.48088774470609563, 0.48104651266331633, 0.5541010382108779, 0.0, 10.0, 0.0, 30.0, 0.5850500962748991, 10.0, 0.553458510596386, 5.0, 14.680927975235528]
delay_168_2021-11-23	delay	[1.07793268985981, 50.0, 10.0, -0.5798758734633248, 20.0, 0.9883941846763308, 0.9885818885432798, 1.0778379413608323, 0.0, 20.0, 0.0, 60.0, 1.070946424772773, 20.0, 1.0779485354259428, 10.0, 29.319540962637365]
delay_169_2021-11-23	delay	[1.0821976482423212, 25.0, 5.0, 2.8715230403287944, 10.0, 1.010459682066341, 1.0106486440163218, 1.081960734572382, 0.0, 10.0, 0.0, 30.0, 1.0730318167405748, 10.0, 1.0821621973590345, 5.0, 15.168143536087028]
delay_16_2021-11-23	delay	[-1.001234521614319, 25.0, 5.0, -0.17038786674222595, 10.0, -1.06369707259462, -1.063626370449616, -1.0013293248085715, 0.0, 10.0, 0.0, 30.0, -1.0044356615838104, 10.0, -1.0011609710337173, 5.0, 13.086404321539716]
delay_170_2021-11-23	delay	[-1.480189347970308, 25.0, 5.0, -0.17038786674222595, 10.0, -1.549138015174845, -1.5490949908565375, -1.4802841637641082, 0.0, 10.0, 0.0, 30.0, -1.4828245789975967, 10.0, -1.4801878013220229, 5.0, 12.599188760688218]
delay_171_2021-11-23	delay	[-0.3747121352234481, 25.0, 5.0, -0.17038786674222595, 10.0, -0.4458631456743338, -0.44575721720444306, -0.37466475665303434, 0.0, 10.0, 0.0, 30.0, -0.37923514963676086, 10.0, -0.3748777447678953, 5.0, 13.706496853532531]
delay_172_2021-11-23	delay	[-0.28003005913170315, 25.0, 5.0, -0.5798758734633248, 10.0, -0.3576011561142929, -0.3574901953122755, -0.27998267807055066, 0.0, 10.0, 0.0, 30.0, -0.27871925678870285, 10.0, -0.2797376937523013, 5.0, 13.828300743745407]
delay_173_2021-11-23	delay	[1.0962720109046076, 50.0, 10.0, -0.5798758734633248, 20.0, 1.0325251794563512, 1.0327153994893636, 1.0963194281712272, 0.0, 20.0, 0.0, 60.0, 1.085544168547387, 20.0, 1.0961338132424434, 10.0, 29.363833286351138]
delay_174_2021-11-23	delay	[-1.0438841054394292, 25.0, 5.0, -0.4043810134399967, 10.0, -0.09281518743417021, -0.0926891296357728, -1.0436945791893226, 0.0, 10.0, 0.0, 30.0, -1.0486459713012135, 10.0, -1.043519362045322, 5.0, 14.060835443242713]
delay_175_2021-11-23	delay	[1.1137583402729028, 50.0, 10.0, 2.111045313561039, 20.0, 1.0325251794563512, 1.0327153994893636, 1.11352142743321, 0.0, 20.0, 0.0, 60.0, 1.101810225896243, 20.0, 1.1136537760168768, 10.0, 29.363833286351138]
delay_176_2021-11-23	delay	[-1.2298362909169105, 25.0, 5.0, -0.34588272676555404, 10.0, -1.2843520464947222, -1.284293925180035, -1.2300732654079953, 0.0, 10.0, 0.0, 30.0, -1.2338287780420338, 10.0, -1.2302511171854855, 5.0, 12.876015783899296]
delay_177_2021-11-23	delay	[0.7691497029660113, 25.0, 5.0, -0.5798758734633248, 10.0, 0.7015427186061979, 0.7017140673937352, 0.7691971116272408, 0.0, 10.0, 0.0, 30.0, 0.7835794116096527, 10.0, 0.7692423559068126, 5.0, 14.869170351019063]
delay_178_2021-11-23	delay	[0.9017899086621044, 25.0, 5.0, -0.22888615341666865, 10.0, 0.811870205556249, 0.8120478447589448, 0.9015529902462983, 0.0, 10.0, 0.0, 30.0, 0.8878490099997544, 10.0, 0.9014182775974746, 5.0, 14.96882807937505]
delay_179_2021-11-23	delay	[-0.26467620895466343, 25.0, 5.0, -0.5798758734633248, 10.0, -0.3355356587242827, -0.3354234398392336, -0.26491315805592114, 0.0, 10.0, 0.0, 30.0, -0.2657898265883303, 10.0, -0.26510076282682526, 5.0, 13.828300743745407]
delay_17_2021-11-23	delay	[-1.5190004692511585, 25.0, 5.0, -0.4043810134399967, 10.0, -1.5932690099548654, -1.5932285018026213, -1.5189531207827802, 0.0, 10.0, 0.0, 30.0, -1.5203616344180333, 10.0, -1.518776073761914, 5.0, 12.554896436974445]
delay_180_2021-11-23	delay	[0.0748144782932149, 50.0, 10.0, 0.06360527995554481, 20.0, 0.017512299515880913, 0.017644647729436653, 0.07443537283955695, 0.0, 20.0, 0.0, 60.0, 0.06912412344067621, 20.0, 0.07398813694670221, 10.0, 28.3783290837197]
delay_181_2021-11-23	delay	[-0.8784037201980012, 25.0, 5.0, 0.2975984266533156, 10.0, -0.953369585644569, -0.9532925930844065, -0.8782141895947115, 0.0, 10.0, 0.0, 30.0, -0.8818146138770507, 10.0, -0.8780776882513053, 5.0, 13.197135130824147]
delay_182_2021-11-23	delay	[1.1355096280237091, 25.0, 5.0, -0.4043810134399967, 10.0, 1.0545906768463615, 1.0547821549624055, 1.1352727157562128, 0.0, 10.0, 0.0, 30.0, 1.1255836943291861, 10.0, 1.1353874007244018, 5.0, 15.223508940729243]
delay_183_2021-11-23	delay	[-1.1449636191049408, 25.0, 5.0, -0.5798758734633248, 10.0, -1.2181555543246916, -1.2180936587609092, -1.1447740955138659, 0.0, 10.0, 0.0, 30.0, -1.148744785755711, 10.0, -1.144869020120209, 5.0, 12.931381188541511]
delay_184_2021-11-23	delay	[1.1265532154204358, 25.0, 5.0, 2.4035367469332525, 10.0, 1.0545906768463615, 1.0547821549624055, 1.1264584682004861, 0.0, 10.0, 0.0, 30.0, 1.1143225777030552, 10.0, 1.1265165334968406, 5.0, 15.2124358598008]
delay_185_2021-11-23	delay	[1.147025015656489, 50.0, 10.0, -0.5798758734633248, 20.0, 1.0766561742363716, 1.0768489104354473, 1.147214599541391, 0.0, 20.0, 0.0, 60.0, 1.1385131245295588, 20.0, 1.1471412998009203, 10.0, 29.419198690993355]
delay_186_2021-11-23	delay	[-0.824238748740111, 25.0, 5.0, -0.5798758734633248, 10.0, 0.21610177602597294, 0.21624544698681367, -0.8240492167119393, 0.0, 10.0, 0.0, 30.0, -0.8250919523528355, 10.0, -0.8239653981631819, 5.0, 14.381954790167564]
delay_187_2021-11-23	delay	[1.13977458640622, 50.0, 10.0, -0.17038786674222595, 20.0, 1.0766561742363716, 1.0768489104354473, 1.1396798395340761, 0.0, 20.0, 0.0, 60.0, 1.1372618893488775, 20.0, 1.1393792909768043, 10.0, 29.4302717719218]
delay_188_2021-11-23	delay	[0.15414270420792014, 25.0, 5.0, -0.5798758734633248, 10.0, 0.08370879168591158, 0.08384491414856232, 0.15433226197372482, 0.0, 10.0, 0.0, 30.0, 0.16505215395956974, 10.0, 0.15404771367544218, 5.0, 14.359808628310677]
delay_189_2021-11-23	delay	[0.01510506093806043, 25.0, 5.0, -0.4043810134399967, 10.0, -0.04868419265414976, -0.048555618689689016, 0.014868119196823253, 0.0, 10.0, 0.0, 30.0, 0.00948191316153807, 10.0, 0.014996869883420121, 5.0, 14.105127766956485]
