ids	maltype	system calls tfidf_1gram-scaled
delay_145_2021-11-30	delay	[0.0, 0.0004024402837939713, 0.0001760202962580177, 3.6224288211711495, 0.0003520405925160354, -0.16188732607468123, 0.0, -1.10308994665851, 0.0, 0.00018052698422309693, 0.0, 0.0004828553489142464, 0.3568046093744849, 0.00013086831094910356, 0.6625402366927162, 0.0001760202962580177, 31.105516213600886]
delay_146_2021-11-30	delay	[0.0, 0.0004289377686963592, 0.00018760982973771887, 3.2391511723938367, 0.00037521965947543773, -1.4979618733232913, 0.0, -0.680927165705108, 0.0, 0.00019241324718322853, 0.0, 0.0005146475248795199, -0.07274816324634471, 0.00013948494609527636, 0.13028239258553406, 0.00018760982973771887, 33.83959984724296]
delay_147_2021-11-30	delay	[0.0, 0.00037972431287844446, 0.00016608473043283663, 3.0841025822268078, 0.00033216946086567326, -0.2912511828506973, 0.0, -1.0781402624854575, 0.0, 0.00017033703583020925, 0.0, 0.00045560030387020234, 0.537540313561812, 0.00012348137463830952, -0.2519700784478158, 0.00016608473043283663, 29.556702820387475]
delay_148_2021-11-30	delay	[0.0, 0.00042532941178402225, 0.00018603159793963332, 0.2729686993484775, 0.00037206319587926664, 0.09146543735190873, 0.0, -0.09366143417276333, 0.0, 0.00019079460755489988, 0.0, 0.0005103181510417716, -0.5012378779712128, 0.00013831155567330556, -1.0168783184173469, 0.00018603159793963332, 34.40454309630981]
delay_149_2021-11-30	delay	[0.0, 0.0007956290986272055, 0.00034799416283971487, 0.5165569637762533, 0.0006959883256794297, 0.28715397024345557, 0.0, -2.4668739465765124, 0.0, 0.0003569039371039775, 0.0, 0.0009546106130385395, 1.1113659196035668, 0.0002587281653260278, -2.582292816446995, 0.00034799416283971487, 63.42921910823281]
delay_14_2021-11-30	delay	[0.0, 0.0003918952807840135, 0.00017140809755773873, -0.6332301590206368, 0.00034281619511547745, -0.2787162828582383, 0.0, -1.0835525826606938, 0.0, 0.00017579669834300415, 0.0, 0.0004702032578768551, 0.6012947192352215, 0.00012743921404096981, -0.7707227358711976, 0.00017140809755773873, 30.758510149768238]
delay_150_2021-11-30	delay	[0.0, 0.0004935431562845664, 0.00021586708906557012, -0.7801061225750547, 0.00043173417813114023, -0.48216989734925314, 0.0, 0.210349522437267, 0.0, 0.00022139398359438317, 0.0, 0.0005921622723385843, -0.7247471226299903, 0.00016049377223011053, -2.851354192883342, 0.00021586708906557012, 41.237647327546476]
delay_151_2021-11-30	delay	[0.0, 0.0004091127731337508, 0.0001789387256440971, 2.008939603656362, 0.0003578774512881942, -0.24986156966817372, 0.0, -1.9019382548314663, 0.0, 0.00018352013482525643, 0.0, 0.0004908611259152767, 1.5210552435539755, 0.00013303811711634574, -1.4440889538219646, 0.0001789387256440971, 32.31717939273247]
delay_152_2021-11-30	delay	[0.0, 0.00046638399922531947, 0.00020398815183140872, 0.812022141728949, 0.00040797630366281744, -0.6196250539778696, 0.0, 0.3596012119409736, 0.0, 0.00020921090720917382, 0.0, 0.0005595762097942761, -1.0055069647049912, 0.00015166196996211322, -1.5200982406578893, 0.00020398815183140872, 38.013657916546066]
delay_153_2021-11-30	delay	[0.0, 0.0003653115109289922, 0.0001597808245585691, 1.959941370451774, 0.0003195616491171382, -0.6978511377599789, 0.0, -1.346545603273668, 0.0, 0.00016387172960984235, 0.0, 0.0004383075556181474, 0.7203166885244418, 0.00011879452015797029, 0.44424758626961347, 0.0001597808245585691, 28.720710811695035]
